title,genre_ID,studio_ID,score,profitability,rottenTomato,gross,year
Zack and Miri Make a Porno,6,1,70,1.747541667,64,41.94 ,2008
Youth in Revolt,3,1,52,1.09,68,19.62 ,2010
You Will Meet a Tall Dark Stranger,3,2,35,1.211818182,43,26.66 ,2010
When in Rome,3,3,44,0,15,43.04 ,2010
What Happens in Vegas,3,4,72,6.267647029,28,219.37 ,2008
Water For Elephants,1,5,72,3.081421053,60,117.09 ,2011
WALL-E,4,3,89,2.896019067,96,521.28 ,2008
Waitress,6,2,67,11.0897415,89,22.18 ,2007
Waiting For Forever,6,2,53,0.005,6,0.03 ,2011
Valentine's Day,3,6,54,4.184038462,17,217.57 ,2010
Tyler Perry's Why Did I get Married,6,2,47,3.7241924,46,55.86 ,2007
Twilight: Breaking Dawn,6,2,68,6.383363636,26,702.17 ,2011
Twilight,6,7,82,10.18002703,49,376.66 ,2008
The Ugly Truth,3,2,68,5.402631579,14,205.30 ,2009
The Twilight Saga: New Moon,1,7,78,14.1964,27,709.82 ,2009
The Time Traveler's Wife,1,8,65,2.598205128,38,101.33 ,2009
The Proposal,3,3,74,7.8675,43,314.70 ,2009
The Invention of Lying,3,6,47,1.751351351,56,32.40 ,2009
The Heartbreak Kid,3,8,41,2.129444167,30,127.77 ,2007
The Duchess,1,8,68,3.207850222,60,43.31 ,2008
The Curious Case of Benjamin Button,5,6,81,1.78394375,73,285.43 ,2008
The Back-up Plan,3,9,47,2.202571429,20,77.09 ,2010
Tangled,4,3,88,1.365692308,89,355.01 ,2010
Something Borrowed,6,2,48,1.719514286,15,60.18 ,2011
She's Out of My League,3,8,60,2.4405,57,48.81 ,2010
Sex and the City Two,3,6,49,2.8835,15,288.35 ,2010
Sex and the City 2,3,6,49,2.8835,15,288.35 ,2010
Sex and the City,3,6,81,7.221795791,49,415.25 ,2008
Remember Me,1,7,70,3.49125,28,55.86 ,2010
Rachel Getting Married,1,2,61,1.384166667,85,16.61 ,2008
Penelope,3,7,74,1.382799733,52,20.74 ,2008
P.S. I Love You,6,2,82,5.103116833,21,153.09 ,2007
Over Her Dead Body,3,10,47,2.071,15,20.71 ,2008
Our Family Wedding,3,2,49,0,14,21.37 ,2010
One Day,6,2,54,3.682733333,37,55.24 ,2011
Not Easily Broken,1,2,66,2.14,34,10.70 ,2009
No Reservations,3,6,64,3.307180357,39,92.60 ,2007
Nick and Norah's Infinite Playlist,3,11,67,3.3527293,73,33.53 ,2008
New Year's Eve,6,6,48,2.536428571,8,142.04 ,2011
My Week with Marilyn,1,1,84,0.8258,83,8.26 ,2011
Music and Lyrics,6,6,70,3.64741055,63,145.90 ,2007
Monte Carlo,6,5,50,1.9832,38,39.66 ,2011
Miss Pettigrew Lives for a Day,3,2,70,0.2528949,78,15.17 ,2008
Midnight in Paris,Romence,11,84,8.744705882,93,148.66 ,2011
Marley and Me,3,4,77,3.746781818,63,206.07 ,2008
Mamma Mia!,3,12,76,9.234453864,53,609.47 ,2008
Mamma Mia!,3,12,76,9.234453864,53,609.47 ,2008
Made of Honor,Comdy,11,61,2.64906835,13,105.96 ,2008
Love Happens,1,12,40,2.004444444,18,36.08 ,2009
Love & Other Drugs,3,4,55,1.817666667,48,54.53 ,2010
Life as We Know It,3,2,62,2.530526316,28,96.16 ,2010
License to Wed,3,6,55,1.9802064,8,69.31 ,2007
Letters to Juliet,3,7,62,2.639333333,40,79.18 ,2010
Leap Year,3,12,49,1.715263158,21,32.59 ,2010
Knocked Up,3,12,83,6.636401848,91,219 ,2007
Killers,Action,Lionsgate,45,1.245333333,11,93.40 ,2010
Just Wright,3,4,58,1.797416667,45,21.57 ,2010
Jane Eyre,6,12,77,0,85,30.15 ,2011
It's Complicated,3,12,63,2.642352941,56,224.60 ,2009
I Love You Phillip Morris,3,2,57,1.34,71,20.10 ,2010
High School Musical 3: Senior Year,3,3,76,22.91313646,65,252.04 ,2008
He's Just Not That Into You,3,6,60,7.1536,42,178.84 ,2009
Good Luck Chuck,3,Lionsgate,61,2.36768512,3,59.19 ,2007
Going the Distance,3,6,56,1.3140625,53,42.05 ,2010
Gnomeo and Juliet,4,3,52,5.387972222,56,193.97 ,2011
Gnomeo and Juliet,4,3,52,5.387972222,56,193.97 ,2011
Ghosts of Girlfriends Past,3,6,47,2.0444,27,102.22 ,2009
Four Christmases,3,6,52,2.022925,26,161.83 ,2008
Fireproof,1,2,51,66.934,40,33.47 ,2008
Enchanted,3,3,80,4.005737082,93,340.49 ,2007
Dear John,1,11,66,4.5988,29,114.97 ,2010
Beginners,3,2,80,4.471875,84,14.31 ,2011
Across the Universe,6,2,84,0.652603178,54,29.37 ,2007
A Serious Man,1,12,64,4.382857143,89,30.68 ,2009
A Dangerous Method,1,2,89,0.44864475,79,8.97 ,2011
27 Dresses,3,4,71,5.3436218,40,160.31 ,2008
(500) Days of Summer,3,4,81,8.096,87,60.72 ,2009
